id,timestamp,flux,flare_class,magnitude,energy,created_at
1,2026-01-10T16:41:00Z,5.668793505719805e-07,B5,5.7,0.1-0.8nm,2026-01-10 16:44:31
2,2026-01-10T16:44:00Z,5.778759373242792e-07,B5,5.8,0.1-0.8nm,2026-01-10 16:47:51
3,2026-01-10T16:55:00Z,5.887575298402226e-07,B5,5.9,0.1-0.8nm,2026-01-10 16:58:29
4,2026-01-10T17:06:00Z,5.520930699276505e-07,B5,5.5,0.1-0.8nm,2026-01-10 17:09:06
6,2026-01-10T17:16:00Z,5.56531574602559e-07,B5,5.6,0.1-0.8nm,2026-01-10 17:19:56
7,2026-01-10T17:27:00Z,5.478988214235869e-07,B5,5.5,0.1-0.8nm,2026-01-10 17:30:34
8,2026-01-10T17:38:00Z,5.086041596769064e-07,B5,5.1,0.1-0.8nm,2026-01-10 17:41:13
9,2026-01-10T17:47:00Z,4.905023160972632e-07,B4,4.9,0.1-0.8nm,2026-01-10 17:51:52
10,2026-01-10T17:58:00Z,5.933338229624496e-07,B5,5.9,0.1-0.8nm,2026-01-10 18:02:32
11,2026-01-10T18:09:00Z,9.854813924903283e-07,B9,9.9,0.1-0.8nm,2026-01-10 18:13:13
12,2026-01-10T18:19:00Z,6.961730036891822e-07,B7,7.0,0.1-0.8nm,2026-01-10 18:23:51
13,2026-01-10T18:29:00Z,5.811889423057437e-07,B5,5.8,0.1-0.8nm,2026-01-10 18:34:30
14,2026-01-10T18:41:00Z,4.940591793456406e-07,B4,4.9,0.1-0.8nm,2026-01-10 18:45:09
16,2026-01-10T18:52:00Z,7.294639772226219e-07,B7,7.3,0.1-0.8nm,2026-01-10 18:56:03
17,2026-01-10T18:59:00Z,6.883721539452381e-07,B6,6.9,0.1-0.8nm,2026-01-10 19:02:10
19,2026-01-10T19:15:00Z,4.579539734095306e-07,B4,4.6,0.1-0.8nm,2026-01-10 19:19:00
20,2026-01-10T19:17:00Z,4.962716957379598e-07,B5,5.0,0.1-0.8nm,2026-01-10 19:21:43
21,2026-01-10T19:26:00Z,4.652033567253966e-07,B4,4.7,0.1-0.8nm,2026-01-10 19:29:35
22,2026-01-10T19:37:00Z,9.366219728690339e-07,B9,9.4,0.1-0.8nm,2026-01-10 19:40:16
23,2026-01-10T19:47:00Z,1.537409389129607e-06,C1,1.5,0.1-0.8nm,2026-01-10 19:50:52
24,2026-01-10T19:58:00Z,1.3401825071923668e-06,C1,1.3,0.1-0.8nm,2026-01-10 20:01:30
26,2026-01-10T20:09:00Z,2.242449681943981e-06,C2,2.2,0.1-0.8nm,2026-01-10 20:12:47
27,2026-01-10T20:20:00Z,2.9802945391566027e-06,C3,3.0,0.1-0.8nm,2026-01-10 20:23:26
28,2026-01-10T20:31:00Z,1.8662240108824335e-06,C1,1.9,0.1-0.8nm,2026-01-10 20:34:03
29,2026-01-10T20:41:00Z,1.4285809584180242e-06,C1,1.4,0.1-0.8nm,2026-01-10 20:44:41
30,2026-01-10T20:44:00Z,1.2993411928619025e-06,C1,1.3,0.1-0.8nm,2026-01-10 20:47:37
31,2026-01-10T20:51:00Z,1.0693980811993242e-06,C1,1.1,0.1-0.8nm,2026-01-10 20:54:36
32,2026-01-10T21:02:00Z,8.494462804264913e-07,B8,8.5,0.1-0.8nm,2026-01-10 21:05:15
33,2026-01-10T21:12:00Z,7.117263294276199e-07,B7,7.1,0.1-0.8nm,2026-01-10 21:15:14
34,2026-01-10T21:23:00Z,6.20443245225033e-07,B6,6.2,0.1-0.8nm,2026-01-10 21:25:57
35,2026-01-10T21:33:00Z,6.128838094809907e-07,B6,6.1,0.1-0.8nm,2026-01-10 21:36:39
36,2026-01-10T21:43:00Z,5.512563348020194e-07,B5,5.5,0.1-0.8nm,2026-01-10 21:47:25
37,2026-01-10T21:47:00Z,4.85734176436381e-07,B4,4.9,0.1-0.8nm,2026-01-10 21:50:43
38,2026-01-10T21:58:00Z,6.083499215492338e-07,B6,6.1,0.1-0.8nm,2026-01-10 22:01:22
39,2026-01-10T22:08:00Z,8.885731404006947e-07,B8,8.9,0.1-0.8nm,2026-01-10 22:12:01
40,2026-01-10T22:18:00Z,1.4525273854815168e-06,C1,1.5,0.1-0.8nm,2026-01-10 22:22:38
41,2026-01-10T22:30:00Z,2.0527786546153948e-06,C2,2.1,0.1-0.8nm,2026-01-10 22:33:17
