id,timestamp,speed,density,temperature,bx,by,bz,bt,risk_level,risk_description,created_at
1,2026-01-10 16:40:00.000,470.5,7.96,34733.0,2.94,4.28,-4.29,6.74,1,LOW - Bz=-4.3nT (weak southward),2026-01-10 16:44:31
2,2026-01-10 16:44:00.000,464.6,5.88,19888.0,3.2,1.99,-6.18,7.24,1,LOW - Bz=-6.2nT (moderate southward),2026-01-10 16:47:51
3,2026-01-10 16:56:00.000,469.0,7.65,29544.0,3.05,1.65,-6.07,6.99,1,LOW - Bz=-6.1nT (moderate southward),2026-01-10 16:58:29
4,2026-01-10 17:04:00.000,468.8,8.01,22172.0,2.35,1.59,-6.95,7.51,1,LOW - Bz=-7.0nT (moderate southward),2026-01-10 17:09:06
6,2026-01-10 17:16:00.000,465.7,8.6,35694.0,2.9,1.22,-5.78,6.58,1,LOW - Bz=-5.8nT (moderate southward),2026-01-10 17:19:56
7,2026-01-10 17:28:00.000,465.5,5.44,24428.0,4.13,5.85,-2.12,7.47,1,LOW - Bz=-2.1nT (weak southward),2026-01-10 17:30:34
8,2026-01-10 17:36:00.000,470.6,8.12,44285.0,4.8,4.84,-4.27,8.04,1,LOW - Bz=-4.3nT (weak southward),2026-01-10 17:41:13
9,2026-01-10 17:48:00.000,466.2,6.8,39367.0,4.59,6.15,-3.36,8.37,1,LOW - Bz=-3.4nT (weak southward),2026-01-10 17:51:52
10,2026-01-10 18:00:00.000,466.5,6.16,29800.0,4.18,1.72,-7.1,8.42,1,LOW - Bz=-7.1nT (moderate southward),2026-01-10 18:02:32
11,2026-01-10 18:08:00.000,465.6,7.15,23597.0,2.68,6.69,-3.52,8.02,1,LOW - Bz=-3.5nT (weak southward),2026-01-10 18:13:13
12,2026-01-10 18:20:00.000,472.0,5.83,25342.0,3.1,3.81,-6.39,8.06,1,LOW - Bz=-6.4nT (moderate southward),2026-01-10 18:23:51
13,2026-01-10 18:32:00.000,460.2,6.72,34540.0,4.15,3.97,-5.54,7.98,1,LOW - Bz=-5.5nT (moderate southward),2026-01-10 18:34:30
14,2026-01-10 18:40:00.000,456.8,5.09,26877.0,4.57,2.37,-5.74,7.71,1,LOW - Bz=-5.7nT (moderate southward),2026-01-10 18:45:09
16,2026-01-10 18:52:00.000,446.7,5.06,22299.0,4.04,0.23,-6.0,7.23,1,LOW - Bz=-6.0nT (moderate southward),2026-01-10 18:56:03
17,2026-01-10 18:59:00.000,453.0,5.96,28185.0,3.16,0.82,-6.36,7.15,1,LOW - Bz=-6.4nT (moderate southward),2026-01-10 19:02:10
18,2026-01-10 19:12:00.000,458.3,6.06,42831.0,4.11,1.27,-5.17,6.72,1,LOW - Bz=-5.2nT (moderate southward),2026-01-10 19:18:07
19,2026-01-10 19:15:00.000,455.2,5.01,69593.0,4.11,1.27,-5.17,6.72,1,LOW - Bz=-5.2nT (moderate southward),2026-01-10 19:19:00
20,2026-01-10 19:18:00.000,,8.13,,4.75,1.76,-3.3,6.05,1,LOW - Bz=-3.3nT (weak southward),2026-01-10 19:21:43
21,2026-01-10 19:24:00.000,453.3,5.41,49128.0,3.04,3.87,-3.31,5.93,1,LOW - Bz=-3.3nT (weak southward),2026-01-10 19:29:35
22,2026-01-10 19:37:00.000,499.9,4.92,84858.0,-0.31,3.37,-9.22,9.82,1,LOW - Bz=-9.2nT (moderate southward),2026-01-10 19:40:16
23,2026-01-10 19:47:00.000,579.8,4.78,401848.0,-0.82,12.72,-3.81,13.3,1,"LOW - Bz=-3.8nT (weak southward), Speed=580km/s (elevated)",2026-01-10 19:50:52
24,2026-01-10 19:57:00.000,599.5,9.09,256581.0,0.34,15.02,4.15,15.58,1,LOW - Speed=600km/s (elevated),2026-01-10 20:01:30
26,2026-01-10 20:09:00.000,627.9,7.69,303911.0,-2.77,12.32,-8.01,14.95,2,"MODERATE - Bz=-8.0nT (moderate southward), Speed=628km/s (elevated)",2026-01-10 20:12:47
27,2026-01-10 20:21:00.000,613.5,5.28,473217.0,0.29,-3.45,-19.21,19.52,2,"MODERATE - Bz=-19.2nT (strong southward), Speed=614km/s (elevated)",2026-01-10 20:23:26
