wavelength_1,wavelength_2,temp_diff_MK,mi_original,mi_residual,mi_ratio,delta_mi_ring,delta_mi_sector,z_score
304,211,1.95,2.6979,0.8462,0.3140,0.5310,0.4762,inf
304,193,1.15,2.7234,0.8398,0.3086,0.5282,0.4522,inf
304,335,2.45,2.6852,0.8466,0.3156,0.5339,0.4457,inf
304,171,0.55,2.7843,0.7227,0.2597,0.3864,0.3470,inf
211,94,4.30,2.5698,0.8906,0.3467,0.1821,0.3104,inf
193,94,5.10,2.5858,0.8788,0.3398,0.1709,0.3099,inf
335,94,3.80,2.5614,0.8765,0.3423,0.1810,0.3055,inf
193,131,8.80,2.5542,0.8671,0.3395,0.1461,0.2993,inf
335,131,7.50,2.5326,0.8654,0.3418,0.1772,0.2985,inf
211,131,8.00,2.5399,0.8717,0.3434,0.1476,0.2967,inf
171,193,0.60,2.7926,0.9705,0.3476,0.3339,0.2964,inf
171,211,1.40,2.7674,0.9553,0.3452,0.3237,0.2855,inf
211,335,0.50,2.7644,1.0207,0.3691,0.3115,0.2780,inf
193,335,1.30,2.7849,1.0161,0.3648,0.3036,0.2770,inf
193,211,0.80,2.7961,1.0194,0.3645,0.3104,0.2752,inf
171,335,1.90,2.7548,0.9445,0.3428,0.3107,0.2732,inf
171,131,9.40,2.5931,0.7477,0.2883,0.0933,0.2192,inf
171,94,5.70,2.6280,0.7537,0.2867,0.1022,0.2139,inf
94,131,3.70,2.5329,0.6863,0.2708,0.1924,0.2047,inf
304,94,6.25,2.6693,0.5201,0.1950,0.1853,0.1817,inf
304,131,9.95,2.6262,0.4997,0.1905,0.1751,0.1736,inf
