wavelength_1,wavelength_2,temp_diff_MK,mi_original,mi_residual,mi_ratio,delta_mi_ring,delta_mi_sector,z_score
193,211,0.80,1.1184,1.2408,1.1082,1.1697,0.7299,654344.2
171,193,0.60,0.7610,0.7404,0.9798,0.6349,0.3858,387417.1
193,131,8.80,0.6454,0.4765,1.0253,0.4455,0.2824,296946.1
211,131,8.00,0.5385,0.4305,1.0722,0.4034,0.2404,253561.4
211,335,0.50,0.6604,0.4221,0.6404,0.3990,0.2222,324594.7
171,211,1.40,0.5221,0.4874,0.9340,0.3960,0.2052,282519.5
171,131,9.40,0.5580,0.3420,1.0506,0.2987,0.1926,214671.8
94,131,3.70,0.2825,0.2504,7.2706,0.2438,0.1627,197755.3
335,131,7.50,0.3962,0.2699,0.8478,0.2579,0.1622,255908.3
193,335,1.30,0.5525,0.3323,0.6000,0.3084,0.1613,300432.2
193,94,5.10,0.3308,0.2873,4.8204,0.2717,0.1514,227680.4
211,94,4.30,0.3056,0.2710,4.7103,0.2565,0.1393,221504.8
171,94,5.70,0.2929,0.2180,3.3425,0.1962,0.1250,174633.9
335,94,3.80,0.2343,0.2134,1.7716,0.2020,0.1169,207741.3
304,131,9.95,0.1788,0.2191,1.9838,0.2008,0.1041,176629.2
171,335,1.90,0.3632,0.2697,0.7551,0.2451,0.1035,201197.5
304,94,6.25,0.1626,0.2082,3.4209,0.1981,0.1016,213813.2
304,171,0.55,0.1687,0.2439,1.7413,0.2154,0.0982,168264.7
304,335,2.45,0.1592,0.2321,1.5948,0.2194,0.0977,210171.3
304,193,1.15,0.1856,0.2008,1.3920,0.1825,0.0728,147804.4
304,211,1.95,0.1871,0.2045,1.2970,0.1898,0.0727,174941.4
