timestamp,mi_original,mi_residual,mi_ratio,delta_mi_ring,delta_mi_sector,z_score,mi_null_mean,mi_null_std
2024-01-15T12:00:00Z,1.188456,1.289329,1.0849,1.232937,0.764276,62640.96,0.000454,0.000021
2024-01-15T12:12:00Z,1.202693,1.312830,1.0916,1.257779,0.785724,43812.39,0.000565,0.000030
2024-01-15T12:24:00Z,1.512167,1.502855,0.9938,1.399492,0.917500,38990.72,0.000948,0.000039
2024-01-15T12:36:00Z,1.457273,1.599421,1.0975,1.438751,0.955760,37992.38,0.001418,0.000042
2024-01-15T12:48:00Z,1.451818,1.550080,1.0677,1.431256,0.952181,39561.08,0.001082,0.000039
2024-01-15T13:00:00Z,1.430778,1.595297,1.1150,1.456700,0.965726,42071.47,0.001247,0.000038
2024-01-15T13:12:00Z,1.482296,1.618087,1.0916,1.472082,0.980776,33100.41,0.001528,0.000049
2024-01-15T13:24:00Z,1.470970,1.571344,1.0682,1.445703,0.944795,43857.84,0.001150,0.000036
2024-01-15T13:36:00Z,1.385738,1.374320,0.9918,1.278907,0.861553,61581.18,0.000641,0.000022
2024-01-15T13:48:00Z,1.280729,1.438730,1.1234,1.352291,0.858352,42474.12,0.000813,0.000034
2024-01-15T14:00:00Z,1.006905,1.109486,1.1019,1.074948,0.655611,63380.01,0.000297,0.000018
2024-01-15T14:12:00Z,0.689651,0.753664,1.0928,0.743753,0.452863,41254.41,0.000240,0.000018
2024-01-15T14:24:00Z,1.348007,1.423397,1.0559,1.352031,0.848178,44521.32,0.000770,0.000032
2024-01-15T14:36:00Z,1.391119,1.610669,1.1578,1.469117,1.039162,33230.49,0.001353,0.000048
2024-01-15T14:48:00Z,1.416509,1.651082,1.1656,1.504559,1.018061,37253.29,0.001522,0.000044
2024-01-15T15:00:00Z,1.416871,1.657415,1.1698,1.496226,1.056481,34738.11,0.001628,0.000048
2024-01-15T15:12:00Z,1.420796,1.468317,1.0334,1.366927,0.887067,45525.12,0.000808,0.000032
2024-01-15T15:24:00Z,1.431504,1.519531,1.0615,1.399733,0.914107,42403.69,0.000946,0.000036
2024-01-15T15:36:00Z,1.428442,1.622284,1.1357,1.486155,1.005025,39539.09,0.001353,0.000041
2024-01-15T15:48:00Z,1.405412,1.584947,1.1277,1.454639,0.956734,41419.50,0.001242,0.000038
2024-01-15T16:00:00Z,1.372893,1.615239,1.1765,1.478977,1.013268,44208.56,0.001339,0.000037
2024-01-15T16:12:00Z,1.458586,1.623646,1.1132,1.439251,1.003738,41078.20,0.001449,0.000039
2024-01-15T16:24:00Z,1.388023,1.605909,1.1570,1.455468,0.980987,43794.23,0.001305,0.000037
2024-01-15T16:36:00Z,1.399115,1.614625,1.1540,1.475078,0.984892,36388.79,0.001459,0.000044
2024-01-15T16:48:00Z,1.398497,1.598946,1.1433,1.449937,0.973580,35172.39,0.001430,0.000045
2024-01-15T17:00:00Z,1.386634,1.594696,1.1500,1.460226,0.985902,39679.19,0.001334,0.000040
2024-01-15T17:12:00Z,1.435150,1.556322,1.0844,1.419331,0.931928,43984.37,0.001312,0.000035
2024-01-15T17:24:00Z,1.462019,1.607137,1.0993,1.415275,1.000747,35994.12,0.001487,0.000045
2024-01-15T17:36:00Z,1.472428,1.476434,1.0027,1.320925,0.881344,44924.50,0.001025,0.000033
2024-01-15T17:48:00Z,1.363532,1.398045,1.0253,1.318936,0.842379,43543.81,0.000645,0.000032
